Topic,Count,Name,Representation,Representative_Docs
30,35,30_disaster_risk_disaster risk_risk reduction,"['disaster', 'risk', 'disaster risk', 'risk reduction', 'reduction', 'change disaster', 'early', 'disasters', 'isdr', 'adaptation']","['reducing vulnerability: sustainable constructions for climate adaptation and disaster risk reduction innovative approaches for climate-resistant constructions are crucial for climate adaptation and disaster risk reduction. international experts and at-risk community leaders will analyze the most important on- the- ground solutions in sustainable construction and address the challenges ahead.', 'disaster risk reduction tools for climate change adaptation the secretariat of the un international strategy for disaster reduction, the provention consortium and the red cross climate centre will present disaster risk reduction tools that can be useful in adapting to climate change', 'adaptation to climate change and disaster risk reduction. two topics with similar content and goal? dkkv (german national platform for disaster reduction within isdr) members from humanitarian, development, private sector and science will provide an insight how cc affects their mandate, how they integrate disaster risk reduction as adaptation strategy and what drr can deliver to prevent failures.']"
31,35,31_equity_stocktake_global stocktake_ambition,"['equity', 'stocktake', 'global stocktake', 'ambition', 'global', 'gst', 'equity global', 'equity review', 'inclusive global', 'review']","['building an inclusive global stocktake: expanding upon non-party inputs to the global stocktake the global stocktake is a key mechanism to raise ambition across mitigation, adaptation, and finance, and in light of equity and the best available science. non-party inputs can help build up the political momentum within the gst to trigger nationally enhanced ambition as well as action.', 'equity in the global stocktake and 2018 facilitative dialogue cop23 must advance discussions on the global stocktake and fd2018, lest ambition ratcheting remain out of reach. in this event, civil-society experts will outline ways in which equity can fruitfully help fulfil the ambition-raising promises of the gst and fd2018.', 'the paris agreement & global equity: how to implement the concept of equity at the global level the global stocktake will also assess global efforts from the perspective of equity. global equity is conceptually not an easy feat as equity is primarily associated with fair burden sharing. we will explore solutions to this challenge from an ethical, scientific and political perspective.']"
32,33,32_ndcs_ndc_implementation_ndc implementation,"['ndcs', 'ndc', 'implementation', 'ndc implementation', 'implementation ndcs', 'multisectorial', 'process', 'implementing ndcs', 'africa', 'good practices']","['accelerating ndc implementation: support for policy and practice in this event, developing countries that have initiated ndc implementation will share related experiences and good practices, including challenges and opportunities in identifying needs and coordination of support. new and available support avenues will be shared by development organizations.', ""accelerating action: catalyzing and financing ndc implementation to support climate, growth and deve this event will focus on what's needed to catalyze and finance the implementation of ndcs, including promoting accessible and responsive support; tackling key risks and barriers to private finance; developing robust implementation roadmaps; and advancing action through the paris agreement."", 'ndc implementation in latin america from a multisectorial perspective the aim of the event is to analyze ndcs implementation processes from a multi-sectorial point of view. for these purposes, argentina and guatemala will present their recent experiences and panelists will debate mobilization of finance to implement ndcs in latin america.']"
33,33,33_nap_naps_national adaptation_adaptation,"['nap', 'naps', 'national adaptation', 'adaptation', 'leg', 'ldcs', 'processes', 'nap processes', 'formulation', 'napa']","['paris implementation: sustained peer learning, coordination and support in the nap global network the nap global network supports paris agreement implementation by enhancing national adaptation planning and action in developing countries. this event will show how we contribute to effective nap processes via sustained peer learning, coordinated bilateral support and targeted technical assistance.', 'lessons and experiences sharing on nap formulation process in cop16, parties to the unfccc decided to formulate national adaptation plan (nap) by developing countries to address their medium- and long-term adaptation needs. as per the initial guidelines for nap process, ldc expert group has prepared a technical guideline to assist ldc parties to formulate', 'work of the leg in supporting the ldcs on adaptation the event will discuss experiences and progress made by the least developed countries (ldcs) in addressing adaptation, and the support provided to them. it will focus on the process to formulate and implement national adaptation plans (naps) and on the national adaptation programmes of action(napas)']"
34,33,34_arctic_ice_cryosphere_melting,"['arctic', 'ice', 'cryosphere', 'melting', 'rise', 'sea', 'irreversible', 'polar', 'sealevel', 'sealevel rise']","['the global implications of a rapidly-changing arctic the arctic is a key component of the global climate system. how fast is the arctic melting, and what are implications for the rest of the world? how can we adapt to this inevitable change? hear the best current knowledge on climate change in the arctic. full info at http://bit.ly/cop23-arctic', 'arctic – a messenger for global change sweden, as chairman of the arctic council, presents together with amap, the latest changes and trends observed in the arctic regarding short-lived climate forcers, melting of snow, water, ice and permafrost, and mercury pollution. the side event will present options for actions and call for action!', 'global outlook for ice and snow the melt of asian mountain glaciers can lead to increased water shortages for 1.3 billion people. this topic will be highlighted when the unep report global outlook for ice and snow is presented. other topics will be the consequences of sea level rise and the melting ice in the arctic']"
35,32,35_namas_nama_registry_namas event,"['namas', 'nama', 'registry', 'namas event', 'design', 'designing', 'parties', 'status', 'event', 'mrv']","['namas state of play: current status, challenges and next steps at this side event ecofys will provide an overview of nama developments, ccap will highlight the main challenges for namas and noak will present a case study on namas with international finance. the annual status report on namas will be launched.', 'exploring practical experience of namas and mrv requirements - supported namas and namas in a new market based mechanism the event will showcase experience from practical work on namas by presenting case studies of a spectrum of namas. it shall give special emphasis to exploring issues related to mrv requirements for supported namas and namas in a future market based mechanism.', 'technical briefing on namas and support for namas under the nama registry this side event will provide parties an opportunity to exchange views on updated information on namas and support for namas under the registry, including the extent of matching between them.']"
36,31,36_arab_region_gulf_arab region,"['arab', 'region', 'gulf', 'arab region', 'arid', 'gcc', 'palestine', 'red sea', 'efforts', 'sea']","['financial & capacity challenges for ca towards better resilience highlighting nbss in arab region climate change impacts are deeply interlinked and require multifaceted responses. the session will discuss challenges & available opportunities at the national & regional levels, especially in the arab regions, on environmental action and also highlight opportunities to use nature based solution.', 'adaptation to a changing climate in the arab countries together, the arab countries, the world bank, league of arab states, and researchers based in arab countries, are in the process of preparing a study on climate change adaptation in the arab countries, including lebanon. the session will address climate change, its impacts, and adaptation options', 'enhancing localization to reduce climate damage and strengthen climate justice in the arab region locally-driven efforts & experiences in the arab region towards strong community resilience. session will also discuss efforts to strengthen climate justice to address the impacts of climate change, promote sustainable development, & ensure fairness & equity in the face of climate challenges']"
37,30,37_ccs_storage_capture_capture storage,"['ccs', 'storage', 'capture', 'capture storage', 'carbon capture', 'co2', 'cement', 'removal', 'carbon', 'industries']","['carbon capture and storage (ccs) for decarbonising industry in developed and developing countries countries will determine their most appropriate mitigation actions to update their ndcs. for many industries there is only one option: ccs. this event will highlight developments relevant to rapidly developing economies, sustainable development goals, and industries in transition.', 'carbon capture and storage (ccs): achievements and opportunities for developing country involvement 1 year of ccs at boundary dam, the world’s first full-scale project on a coal power plant; 19 years of ccs in the north sea region; ccs policies; eu pilot projects; and new project collaboration opportunities at boundary dam and in offshore storage open to developing countries and ctcn.', 'opportunities for africa in carbon capture and storage (ccs) ccs is a demonstrated technology to achieve deep ghg reductions. we report on progress towards ccs deployment in africa and global ccs developments relevant for africa, onshore and offshore. steps for ccs pilot project development and new opportunities for technology transfer will be outlined.']"
38,30,38_observations_observation_earth_gcos,"['observations', 'observation', 'earth', 'gcos', 'systematic', 'earth observation', 'observing', 'satellites', 'satellite', 'monitoring']","['earth observation from space for global climate change the importance of earth observing satellites for determining the rate of climate change and for understanding, prediction, and attribution of causes of climate change through cooperation of ceos members, as a response to gcos implementation plan', 'satellite observations contributing to global earth system monitoring illustrative ceos activities on greenhouse gases and forest carbon monitoring. the committee on earth observation satellites (ceos) presents current satellite activities to meet unfccc objectives. ceos implements the satellite observing component of the global earth observation system of systems.', 'earth observations: momentum with the geo initiative the group on earth observations (geo), created by governments to develop a 10-year implementation plan for a comprehensive, coordinated, sustained earth observation system of systems to monitor the earth, will present its draft plan at earth observation summit-iii in february 2005.']"
39,28,39_education_change education_climate change_change,"['education', 'change education', 'climate change', 'change', 'cce', 'climate', 'education training', 'learning', 'students', 'climate education']","['learning for climate action: implementing the paris agreement through education, training and skills this event discusses how a comprehensive approach to climate change education supports the implementation of the paris agreement, exploring good practices at all levels of learning and through climate-resilient education systems from around the world. it focuses on transformative action', 'combatting climate change through education and training the un alliance on climate change education, training and public awareness showcases with partner organizations how education and training are at the core of climate change action and how young people are playing a key role in advancing knowledge on mitigating and adapting to climate change.', 'quality education: climate change education for all education is the thread tying together the 2030 agenda for sustainable development and climate change action. panel discussion about how partnerships on education can accelerate the implementation of the paris climate change agreement and the sdgs. engaging citizens for climate-resilient cities']"
40,26,40_mountain_mountains_mountain regions_ecosystems,"['mountain', 'mountains', 'mountain regions', 'ecosystems', 'change mountain', 'partnership', 'climate change', 'regions', 'change', 'water']","['mainstreaming mountains in the climate agenda: the context of mountain initiative and rio+20 as the mountain ecosystems and mountain communities have adversely been affected by climate change, the mountain issues need to be mainstreamed into the international climate agenda. this will be discussed in the wider context of mountain initiative initiated by nepal and the outcome of rio+20.', 'international mountain day - mountain adaptation: vulnerable peaks and people the world’s mountain regions are facing similar challenges, which provides opportunities for cooperation and knowledge exchange. the high-level event gathers representatives of mountain regions from across the world and feature the launch of two reports incl the global state of mountain adaptation.', 'mountains in peril : mainstreaming sustainable mountain development into climate change agreements why mountains are important to address climate change impacts, key issues in mountain countries and ecosystems, how mountain ecosystems can be made more resilient systems for climate change adaptations.']"
41,26,41_bioenergy_biofuels_biochar_change mitigation,"['bioenergy', 'biofuels', 'biochar', 'change mitigation', 'sustainable', 'production', 'soil', 'benefits', 'trade', 'mitigation']","['towards a strategy for sustainable production and trade of bioenergy dialogue jointly organised by international centre for trade and sustainable development (ictsd), iea bioenergy task 40 and stockholm environment institute (sei) on policies and strategies for advancing sustainable development objectives in the context of international trade in bioenergy', 'large-scale bioenergy beyond current agrofuels: climate change mitigation - hope or myth? new forms of bioenergy are being promoted in response to concerns about biofuels from food crops: jatropha, second generation biofuels, use of so-called marginal lands, biochar. speakers will critically examine those concepts and discuss the implications for communities and for the climate.', 'promoting bioenergy towards sustainable development & climate change mitigation: the gbep challenge the italian ministry for the environment, land and sea, which chairs gbep, presents the first year activity of gbep and the report on the current state of bioenergy development in g8+5countries. country experiences in the field of bioenergy as well as gbeps work will be discussed']"
42,25,42_national communications_communications_parties_nonannex parties,"['national communications', 'communications', 'parties', 'nonannex parties', 'nonannex', 'national', 'cge', 'technical', 'preparation', 'nai']","['support for national communications 1.update on the ncspâ\x92s work programme and technical assistance activities to support the preparation of national communications in non-annex i parties; and 2. update on three undp regional initiatives, which will provide inputs to national communications', 'cc forum: presentations of new nai national communications, and on financial and technical support. nai parties experiences on the preparation of national communications; exchange of views by parties, bilateral and multilateral institutions on the potential and available financial and technical support for the preparation of national communications and an overview of the cge hands-on training.', 'cc:forum: financial & technical support for the preparation of national communications from nai part financing of national communications from nai parties - gef operational procedures; announcement of the compendium on adaptation; technical support for national communications; launch of the user manual for the guidelines on national communications']"
43,25,43_business_industry_businesses_industry day,"['business', 'industry', 'businesses', 'industry day', 'day', 'climate', 'sector', '10', 'change business', 'climate business']","['the emerging climate change services sector: a new business constituency climate change policy in the uk has given birth to a new business sector which has formed the lccs group. the side event will showcase this successful community as a model for others around the globe. the event will look at how this sector has begun too influence the policy & business debate', 'bingos anniversary event - 10 years of business achievements an opportunity for a number of business groups to have 10 minutes each to demonstrate their climate change achievements and successes over the past 10 years. bingos anniversary event - 10 years of business achievements. coordinated by icc on behalf of bingos.', 'cop25 business & industry day: business as a key partner to help limit global warming to 1.5°c bingo day will be made up of a high-level segment followed by three consecutive sessions. under the umbrella theme “beyond business as usual: leading for a net zero future” the icc session aims to explore how business can contribute to further ramp up the ambition of countries’ ndcs.']"
44,24,44_article_capacity building_64_article paris,"['article', 'capacity building', '64', 'article paris', 'capacitybuilding', 'capacity', 'building', 'article implementation', 'article 64', 'implementation article']","['moving towards article 6 implementation through capacity building and blending with climate finance the event focuses on capacity building to enable article 6 implementation in sids. the role of private and public climate finance for blending with credit sales revenues as well as international development of specific methodological tools to enable a rapid article 6 implementation is highlighted.', 'capacity building towards implementation of article 6 of paris agreement decisions in glasgow mandates the unfccc through rccs in consultation with parties and bodies (a.6.4sb) to provide capacity building. the event is an opportunity to solicit input on the cb implementation workplan prepared by unfccc to support parties in the implementation of article 6.', 'exploring article 6 cooperation opportunities in the maghreb and african region morocco has been an early mover in the cdm and aims to become a leader in article 6 activities. the side event will present morocco’s article 6 strategy, its engagement in south-south capacity building initiatives and article 6 pilots, and discuss these with buyers of article 6 credits.']"
45,24,45_loss damage_damage_loss_international mechanism,"['loss damage', 'damage', 'loss', 'international mechanism', 'damage fund', 'ld', 'fund', 'addressing loss', 'warsaw', 'mechanism']","['loss and damage and climate reparations: a call for solidarity this event will be focused on elevating the issue of loss and damage, its importance to the climate negotiations and the necessity of addressing loss and damage globally for climate justice. we will also discuss clim', 'stories&realities fromground &communitysuffering on loss and damage in mountains&lowland-globalsouth loss and climate loss and damage climate fund loss and damage climate finance', 'a moral call to conscience – fair share in finance for people affected by loss and damage what do we mean by ‘fair share’ in loss and damage? this event will explore effective and human rights-based responses to loss and damage, and in particular how loss and damage can be addressed in a post-2025 finance agreement.']"
46,24,46_peatlands_peatland_wetlands_restoration,"['peatlands', 'peatland', 'wetlands', 'restoration', 'emissions', 'terrestrial', 'ecosystem', 'mangroves', 'assessment', 'tropical']","['a global peatlands assessment to guide decision makers towards conservation and sustainable use a collaborative effort to improve knowledge on peatlands is presented. developed on behalf of the gpi, the global peatlands assessment (gpa) is a key step forward in coordinated action between unep and the ramsar secretariat on approaches to peatlands and sustainable development-related policy.', 'the need for local action to sustain peatlands globally degrading peatlands contribute 5% of the total global anthropogenic emissions. use of wet peatlands (paludiculture) prevents degradation and provides an economic incentive for peatland rewetting. this puts priority to incentivize traditional non-drainage uses of peatlands by local communities.', 'fire or flood: climate impacts and adaptation options for peatlands 1. impacts on tropical peatlands 2. impacts on temperate/arctic peatlands 3. peatlands and flood prevention/water supply in relation to climate change (mountain peatlands/floodplain peatlands) 4. update on the assessment on peatlands biodiversity and climate change']"
47,23,47_islands_pacific_island_pacific islands,"['islands', 'pacific', 'island', 'pacific islands', 'small', 'small island', 'sids', 'face', 'island developing', 'developing states']","['building upon traditional culture, pacific islands take the lead in sustainable sea transportation republic of palau, and okeanos foundation, join forces to develop pacific region sustainable sea transportation network. building upon traditional knowledge, pacific islands embrace modernized sailing canoes using only native renewable energies and provide model for global coastal communities.', 'living in the face of climate change: from the pacific islands to the world. pacific islanders, as sids, are amongst the most vulnerable to the impacts of climate change, on this path that the whole world is on. the pacific islands are taking climate action, making a positive difference in the face of these challenges with financial support from th', ""pacific islands and climate change - our century's challenge, our pacific res this will provide a platform for the pacific island countries and territories to present on their lessons learnt in dealing with climate change issues.""]"
48,22,48_gcf_green climate_climate fund_fund,"['gcf', 'green climate', 'climate fund', 'fund', 'green', 'paradigm shift', 'resources', 'climateresilient development', 'paradigm', 'gef']","['gcf open forum -- engaging with the green climate fund, preparing projects two weeks after its first high-level pledging conference, the green climate fund will present its current state of affairs and explain the type of projects the fund could deliver in developing countries. the interactive session discusses gcf milestones until the 2015 paris agreement.', 'gcf outlook -- prospects for the green climate fund in 2015 the green climate fund is set to start deploying is resources in 2015. the gcf board recently adopted policies for selecting institutions through which it will disburse funds, as well as for receiving additional funding. this interactive session discusses key deliverables of gcf in 2015.', ""cso efforts to make the green climate fund transparent and accountable: gcf watch the event will discuss the role civil society can play to achieve gcf's objective of a paradigm shift and promote ambition, accountability, and monitor funding implementation’s quality. best practices on how to make gcf more effective by supporting csos will be showcased. gcfwatch will be launched.""]"
49,21,49_paris agreement_paris_business_agreement,"['paris agreement', 'paris', 'business', 'agreement', 'business engagement', 'implementing paris', 'implementing', 'indcs', 'trade', 'compliance']","['business engagement and action on the paris agreement for a sustainable resilient recovery implementing the paris agreement and advancing a sustainable resilient recovery depends on marshalling business to strengthen ndcs, and, even more, to identify and overcome barriers to accelerate transformational change', 'adaptation, resilience and just transition: business engagement to deliver the paris agreement implementing the paris agreement is essential to advancing an inclusive, sustainable and resilient recovery. marshalling business innovation and investment for adaptation, and identifying and overcoming barriers will accelerate transformational change.', 'business engagement on implementing the paris agreement and accelerating transformational change implementing the paris agreement depends on marshalling business efforts, especially innovation to implement initial ndcs, and, even more, to identify and overcome barriers to accelerate transformational change. we propose establishment of an ongoing business-led platform to promote these efforts.']"
50,21,50_air_pollutants_shortlived_climate pollutants,"['air', 'pollutants', 'shortlived', 'climate pollutants', 'air quality', 'shortlived climate', 'quality', 'clean air', 'climate clean', 'black carbon']","['health, agricultural, and climate benefits of reducing short-lived climate pollutants the climate and clean air coalition to reduce short-lived climate pollutants (ccac) is catalyzing rapid reductions in these harmful pollutants to protect human health and the environment now, and slow the rate of climate change within the first half of this century.', 'clean air as a human right: air quality actions for climate mitigation, adaptation, and human health air pollution is a major threat to human health and climate that will be exacerbated by global warming. this event highlights exemplary actions to reduce premature mortality and create healthy urban development by integrating air quality in climate mitigation and adaptation.', 'bridging the emissions gap more quickly: the climate and clean air coalition slowing near-term warming by reducing slcps: the climate and clean air coalition (ccac) the new climate and clean air coalition to reduce short-lived climate pollutants is the first global effort to treat short-lived climate pollutants (slcps) as a collective challenge, making a difference on several fronts, from air quality to climate change: information on ccac actions and goals.']"
51,20,51_trading_emissions trading_eu_trading scheme,"['trading', 'emissions trading', 'eu', 'trading scheme', 'emissions', 'scheme', 'linking', 'ets', 'eu emissions', 'eu ets']","['the interaction between the eu emissions trading scheme and member state climate policy presentation on the major results from the eu-funded project ""interaction in eu climate policy"" which deals with the potential interactions between the proposed eu emissions trading scheme (starting from 2005) and existing climate policies.', ""the eu emissions trading scheme: state of play this side-event will give an overview of recent developments in relation to the implementation and further development of the eu's greenhouse gas emissions trading scheme, including the 2nd round of national allocation plans and the review of the eu ets for the period post-2012"", 'linkages among emissions trading schemes and with offset projects this side event will summarize research on the linkage of the eu-ets with other trading systems setting a focus on legal, economic and institutional questions. also indirect linkages via the cdm, and options and barriers for linking emissions trading schemes to offset markets will be discussed']"
52,20,52_momentum change_momentum_ict_urban poor,"['momentum change', 'momentum', 'ict', 'urban poor', 'winners', 'lighthouse', 'women', 'segment', 'poor', 'change showcase']","['momentum for change: urban poor the momentum for change 2013 lighthouse activities under the urban poor pillar will give technical presentations on each of their activities.', 'momentum for change: showcase event this exciting and uplifting evening event will celebrate the 2016 momentum for change lighthouse activity winners with inspiring videos, photography and an award ceremony.', 'momentum for change: showcase event this exciting and uplifting evening event will celebrate the 2015 momentum for change lighthouse activity winners with inspiring videos, photography and an award ceremony.']"
53,19,53_citizens_public_arts_citizen,"['citizens', 'public', 'arts', 'citizen', 'participation', 'media', 'dialogues', 'public engagement', 'science', 'sports']","['building capacity for effective public engagement in climate change governance organised with the support of unece and unitar, and linked to unfccc art. 6, rio principle 10 and the aarhus convention, this event will highlight good practices and key challenges in promoting transparency, raising public awareness and strengthening public engagement in addressing climate change.', 'science centres, museums and aquaria commit to action on climate change science centres and museums play a crucial role in public engagement on climate change. at the cop15, ecsite invites researchers, policymakers, and civil society to discuss the challenges in engaging citizens on climate change issues, and establishing real dialogue with the public.', 'tackling climate change needs civil society: insights on public engagement for climate action effective climate action requires the participation and support of citizens. how can governments and citizens co-create movements for transformative change? this interactive session considers how citizens and other stakeholders can contribute to decision-making and drive change in their communities']"
54,19,54_adaptation fund_fund_adaptation_af,"['adaptation fund', 'fund', 'adaptation', 'af', 'projects', 'direct access', 'accreditation', 'adaptation projects', 'direct', 'scalable']","[""adaptation fund: innovative replicable and scalable adaptation interventions the adaptation fund (af) will discuss new innovation grants to help advance its often groundbreaking concrete adaptation work for the most vulnerable. af's contributions and value to serving the paris agreement will also be highlighted."", 'adaptation fund fosters innovation for vulnerable countries and private sector adaptation fund (af) projects are making tangible differences in enhancing vulnerable communities across the world. often they are the first adaptation projects on the ground in many vulnerable places and are creating scalable models. speakers include af and business leaders, and csos.', 'presentation of the adaptation fund handbook and dialogue with the adaptation fund board launch of new adaptation fund publications followed by a q&a session by the chair and vice-chair of the adaptation fund board. this side event will present key achievements in the development of the adaptation fund over the past year and discuss promising steps for the future.']"
55,18,55_hadley_hadley centre_centre_met,"['hadley', 'hadley centre', 'centre', 'met', 'predictions', 'office', 'gis', 'research', 'hotspots', 'change']","['observed climate and new met office hadley centre earth system model projections climate change is ongoing, evident in not only temperature, but many aspects of the climate system. ahead of ipcc ar5, we contrast past changes with new estimates of future climate using earth system models. emphasis is on physical climate changes important to people, ecosystems and infrastructure', 'climate research at the met office hadley centre: new science to inform policy the climate change agenda is moving from proving man-made change is real to taking costly actions to mitigate and adapt to inevitable climate change. the new met office hadley centre 5 year research programme will provide more detailed regional climate change predictions vital to inform decisions', ""latest climate change results from the hadley centre the latest results from the met office's hadley centre will be presented and discussed. the focus will be on uncertainty in climate change predictions, risk and the impacts of climate change.""]"
56,18,56_africa_africa day_african_africas,"['africa', 'africa day', 'african', 'africas', 'day', 'african development', 'development bank', 'clean', 'energy', 'development']","['africa day events -climate change and agriculture in development and ending hunger in africa. event explores on how the implementation of comprehensive african agriculture development programme (caadp) will support climate change adaptation.it intends to provide a platform for sharing information and knowledge on past, existing and planned initiatives on climate change adaptation &mitigation', 'addressing climate change in africa: the role of the african development bank the side event will consist of presentations followed by panel discussion on how afdb assists african countries efforts in clean energy and energy access, carbon financing, climate risk management and adaptation to climate change. opportunities for partnerships and knowledge sharing will be explored', 'africa day on •\tpartnership for the implementation of the paris agreement: an african response. the africa day provides a platform for engaging partnership; discuss and analyze priority issues for africa in preparation for the implementation of paris agreement. these include: resource mobilization, capacity needs, institutional arrangements & support, policy reforms, communication, & networkin']"
57,17,57_insurance_risk_climate risk_risk reduction,"['insurance', 'risk', 'climate risk', 'risk reduction', 'risk insurance', 'vulnerable countries', 'countries people', 'reduction', 'adaptation risk', 'vulnerable']","['adaptation, risk reduction and insurance (with ccrif, oxfam, swissre, iri) answers party questions on adaptation, risk management and insurance, relevant to para 4e and 8 of awg-lca text. delegates and experts discuss innovations for adaptation, risk reduction, and insurance for vulnerable countries and people. real-world experience and examples from communities, governments and regions.', 'climate risks and insurance solutions. mr. thomas loster, chairman of the munich re foundation discusses how disaster risk reduction and insurance solutions can help vulnerable countries and people using examples from microinsurance and disaster risk reduction in mozambique, senegal, and other developing countries.', 'climate risks and insurance solutions. mr. thomas loster, chairman of the munich re foundation discusses how disaster risk reduction and insurance solutions can help vulnerable countries and people using examples from microinsurance and disaster risk reduction in mozambique, senegal, and other developing countries.']"
58,17,58_ipcc_report_assessment report_synthesis report,"['ipcc', 'report', 'assessment report', 'synthesis report', 'ipccs', 'unfccc process', 'synthesis', 'fifth assessment', 'scientific', 'work ipcc']","[""the ipcc fifth assessment report: a user's perspective after a brief ipcc presentation of aspects of the fifth assessment report, representatives of stakeholder groups -- policymakers, business and civil society -- will discuss how they work with the report and put it into practice, and indicate how the report can be made more user-friendly."", 'ipcc information and activities and their relevance for the unfccc process highlights of ipcc ar4; update on the currently prepared special reports on renewable energy sources and on extreme events; and outlook towards ar5.', 'the ipcc at a crossroads: enhancing the usefulness of ipcc to the unfccc process the ipcc’s past success in synthesizing large volumes of research and communicating the results to policymakers does not guarantee future success. we discuss problems and challenges that the ipcc faces and address two questions: is the ipcc doing the right things? is the ipcc doing things right?']"
59,17,59_french_paris_games_frenchspeaking,"['french', 'paris', 'games', 'frenchspeaking', '15c', 'paris agreement', 'footprint', 'agreement', '15', 'plan local']","['which priority of the french policy for the post 2012 climate change regime? side event with the participation of jean louis borloo, minister for ecology, sustainable development and spatial planning: national action plan, research and innovation policies, international cooperation, climate science and adaptation, assesment of forest cover changes', 'the french organization for climate change policies on national and international level towards a fourfold reduction in french emissions by 2050 - action in 2003; cooperation and tackling world wide; presentation of the french guides to the kp project mechanisms; strategy of the agence franã§aise de developpement and the tool for promoting su', 'implementation of the french action plan and the local climate plans on mitigation and adaptation side event with the french minister of ecology* and sustainable development : annual review of the climate plan, the part of local authorities, tools for local authorities such as the carbon assessment and the adpatation strategy (* tbc)']"
60,16,60_buildings_construction_built environment_building,"['buildings', 'construction', 'built environment', 'building', 'built', 'design', 'energy efficiency', 'lifecycle', 'efficient buildings', 'energy efficient']","['design thinking, global standards, & integrative solutions for a net zero built environment the built environment creates 37% of energy related ghg emissions. design thinking can offer integrated solutions for equitable & resilient zero-carbon communities. consensus-based standards are needed for design, operations, & accountability across a building’s lifecycle to decarbonize the sector.', 'building to paris: near zero emission and resilient buildings for all •mobilization of countries and building industries to reduce operationnal and embeded emissions and increase climate resilience that buildings delivers affordable, healthy and safe living spaces. •objectives of the first global forum “buildings and climate”+ ministerial, paris 10-11 march 2024', 'energy efficient buildings and communities for sustainable development: voices from south africa leading public and private sector organisations explore intersections between energy demand, efficient buildings & communities and climate change in south africa. policies, frameworks and financial tools for building and city sector emissions in the context of sustainable development are discussed.']"
61,16,61_nuclear_nuclear energy_nuclear power_power,"['nuclear', 'nuclear energy', 'nuclear power', 'power', 'energy', 'role nuclear', 'iaea', 'session review', 'review recent', 'national plans']","['global status and outlook for nuclear power expectations for nuclear power are rising. since nuclear power generates few ghgs, an accurate picture of its prospects is important for climate negotiations. the session will review recent projections, specific national plans, changing markets and the impact of ghg constraints', 'global status and outlook for nuclear power expectations for nuclear power are rising. since nuclear power generates few ghgs, an accurate picture of its prospects is important for climate negotiations. the session will review recent projections, specific national plans, changing markets and the impact of ghg constraints', 'nuclear energy - no solution to climate change to adress the advocacy for nuclear energy in the fight against climate change, the heinrich bã¶ll foundation presents a series of issue papers on nuclear energy. the issue papers give a state of the art overview on nuclear power in the energy sector and its effectiveness to fight climate change.']"
62,15,62_energy_poverty_africa_local,"['energy', 'poverty', 'africa', 'local', 'east', 'renewable energy', 'village', 'renewable', 'east africa', 'poverty reduction']","['renewable energy policies for climate resilience, sustainable development and poverty reduction presentations from africa and asia by inforse and helio network members - real-life efforts to use renewable energy and energy efficiency solutions for ghg emission mitigation, development and poverty reduction. - tools to climate-proof supporting energy policies including results from case s', 'local solutions with poverty reduction in ndcs. experiences from east africa, south asia, l. america poverty reduction and low-emission developments can be combined using local, sustainable solutions. we will showcase and propose local sustainable energy and climate actions that should be pillars in the updated ndcs. we present catalogue of solutions, national & local mitigation + adaptation plans.', 'proposing stronger ndcs, leds & paris rulebook for poverty reduction and local village development stronger ndcs & leds that include local low emission solutions to increase energy access and improve livelihoods to reduce poverty. we will showcase village based solutions from south asia and east africa and how ndcs & leds can promote these solutions, how a good paris rulebook can facilitate this.']"
